标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
中间楼层，纯商品房小区，南北通户型,金舟苑 ,2室2厅,86.8平米,南,6,2002,金桥,575,66
双南南阳台宜居电梯2房！自住装修保养好，看房方便！,东港公寓 ,2室1厅,73.98平米,南,15,1987,陆家嘴,580,78
此房位于小区中间位置，比较安静,绿洲康城亲水湾(中央区) ,2室2厅,74.89平米,南 北,18,2017,御桥,580,77
房东诚意出售，南北大两房，全明户型，看房随时有钥匙,建华公寓 ,2室1厅,88.87平米,南,6,1995,花木,698,78
东方悦居 一手动迁 税费少 高区 可观世博馆 东方明珠,东方悦居 ,2室2厅,72.28平米,南 北,18,2008,杨思前滩,586,81
业主诚意出售 看房提前预约即可 好房子 不要错过,云莲苑 ,3室1厅,82.34平米,南,7,1998,世博,568,68
小区花园位置不靠路，满五+1带车位~~~,世茂云图 ,3室1厅,86.06平米,南,16,2017,康桥,668,77
南国龙苑，一梯两户，小区中间位置不靠路安静，有阁楼,南国龙苑 ,3室2厅,87.82平米,南 北,6,2000,杨思前滩,698,79
小区中间位置，有小花园，满五税少，小区出口近,黄山始信苑 ,2室1厅,75.61平米,南,6,1999,金杨,640,84
户型正气，三轨道出行，配套成熟。,东陆新村五街坊 ,2室2厅,77.85平米,南 北,6,2003,金桥,580,74
地铁6+14号线，南北户型两房，一手动迁满五年，不临街,金樟花苑 ,2室1厅,72.58平米,南,6,1994,金杨,580,79
复式房 电梯顶楼带阁楼   视野开阔  近万达  近地铁,美林小城 ,3室2厅,89.54平米,南,14,2006,康桥,575,64
凤凰楼层+北观三件套南看别墅+双轨交汇+精装修南北通,金禾新苑 ,2室2厅,77.46平米,南 北,11,2006,三林,636,82
06年房子，带双天井，南北户型，停车位充足,双桥小区 ,2室1厅,77.14平米,南,6,2006,金桥,588,76
中间楼层，前面没有任何遮挡，边套全明，客厅带窗子,金浜小区 ,2室1厅,71.12平米,南,6,1994,金杨,530,74
内环内商品房小区，一梯两户房型正，配套成熟交通便利,名门世家(浦东) ,2室2厅,82.21平米,西南,6,1998,洋泾,689,83
三轨交汇 +2楼 +福外已空+南北通透+配套成熟 在建嘉里,证大家园(三期) ,2室2厅,87.95平米,南 北,6,2005,金桥,780,88
2003年小区 环境优美 全明通透户型 有钥匙看房方便,始信北苑 ,2室1厅,71.53平米,东 东南 南,6,2003,金杨,710,99
内环商品房、近地铁6/14/18三地铁，全明，看房方便,洋泾花园城 ,2室2厅,74.45平米,南 北,6,1998,洋泾,540,72
12号线杨高北路 楼层好 位置好 采光无遮挡 旁边三轨交,证大家园(一期) ,2室2厅,89.03平米,南,5,2002,金桥,688,77
满五年，税少 看房方便 诚意卖的 电梯房中间楼层。,龙科公寓 ,2室1厅,81.52平米,南,11,2013,北蔡,616,75
小区仅ci一套 一梯两户两南一北户型 4/6双轨 置换诚售,蓝高小区 ,3室1厅,75.74平米,南,6,1988,塘桥,520,68
1999年+南北三房中间楼层+精装修+近地铁9号线,崮山小区一街坊 ,3室2厅,85.87平米,南,6,1999,洋泾,755,87
内环内的精装三房，户型方正视野不错哦,崮山小区一街坊 ,3室2厅,85.87平米,南,6,1999,洋泾,699,81
三轨交汇 +2楼 +福外已空+南北通透+配套成熟 在建嘉里,证大家园(三期) ,2室2厅,87.95平米,南 北,6,2005,金桥,780,88
一手动迁 房龄新 近地铁 张江科技城双子塔,申城佳苑二期B块 ,2室2厅,89.76平米,南,16,2016,张江,520,57
蓝村路大两房，一梯两户，中间楼层，看房方便,金浦小区(塘桥) ,2室2厅,88.75平米,南,6,1997,塘桥,690,77
看过来！！！中间楼层 位置好 税费少 温馨的家,绿地崴廉公寓 ,2室2厅,87.54平米,南,14,2005,高行,565,64
09年电梯房，12+21+9号线三轨环 绕，税费少诚售,阳光城市家园 ,2室1厅,81.31平米,南,17,2009,金桥,560,68
高区精装，满五得房率高，户型好住的舒服，不靠路,三林新村(永泰路468弄) ,2室2厅,71.1平米,南,14,2009,三林,520,73
一手动迁 税费少 总价低地铁6号14号双地铁站,黄山二村 ,2室1厅,75.75平米,南,6,1998,金杨,660,87
无个税  全体落地阳台+落地窗，花园洋房，家庭院子,证大家园(一期) ,2室1厅,89.31平米,南,5,2002,金桥,707,79
商品房2002年小区，带阁楼，阁楼层高2米，7号线地铁口,由由四季苑 ,2室2厅,88.18平米,南 北,6,2002,北蔡,630,71
四期雅颂，满五年，税费少，中间位置，视野无遮挡,绿洲康城亲水湾(中央区) ,2室1厅,83.19平米,南 北,18,2017,御桥,650,78
浦城小区 2室2厅 南,浦城小区 ,2室2厅,72.78平米,南,6,1993,陆家嘴,680,93
近地铁，靠世纪公园。位置安静，业主诚售~~,瑞达苑 ,2室1厅,83.74平米,南,6,1998,花木,598,71
樱花路309弄 2室1厅 南,樱花路309弄 ,2室1厅,78.65平米,南,6,2006,花木,780,99
地铁口30米、电梯、双南、全明、诚意出售、产权清晰,蓝高小区 ,2室1厅,73.73平米,南,18,1993,塘桥,558,75
电梯高层，双南两房，视野采光好,大华锦绣华城(二街区) ,2室1厅,76.04平米,南,18,2012,北蔡,620,81
杨思前滩丨诚意出售丨中间楼层丨户型好丨L型阳台,绿茵苑(浦东) ,3室1厅,88.24平米,南,6,1998,杨思前滩,520,58
德平路地铁口 商品房 独门独户附带70几平露台 使用权,上泰花苑 ,2室2厅,85.07平米,南,6,1998,金杨,596,70
户型正气 税费少，层高2.9米 面积小总价低。,始信北苑 ,2室2厅,72.96平米,南,6,2003,金杨,620,84
中间套三开间朝南，买进价高税少，楼间距大视野开阔,高弘家苑 ,2室2厅,89.2平米,南,14,2011,高行,738,82
新高苑(三期) 2室2厅 南,新高苑(三期) ,2室2厅,83平米,南,6,2011,高行,500,60
新上房源  满五佳V一   中间位置  视野好,保利林语溪(公寓) ,3室2厅,89.66平米,南,18,2011,三林,546,60
前滩边 品质楼盘 税费少 业主诚意出售,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,550,63
硬装30万+全屋定制+近地铁+近商场,盛源公寓 ,2室2厅,86.64平米,南 北,6,2003,三林,629,72
三房改成双南全明2房，精装修，前滩1路之隔，商品房,恒大华城东林苑 ,3室1厅,76.8平米,南,6,2002,杨思前滩,618,80
品质小区  次新小区 小区配套成熟 南北小三房,九龙仓兰廷 ,3室2厅,89.52平米,南 北,18,未知,周浦,650,72
金色中环 金桥和苑金桥次新小区 近地铁9号线,金桥和苑 ,2室2厅,88平米,南,10,2011,金桥,755,85
南北通 花园位置 铂金楼层 采光好 诚意出售 看房方便,黄山始信苑 ,2室1厅,75.57平米,南,6,1999,金杨,665,87
正气两房不靠路+6、12号线双轨+巨峰嘉里城+未来滨江,伟业金锦苑三村 ,2室1厅,78.85平米,南 北,6,2004,金桥,529,67
03年商品房品质小区，满 五年税费少，地铁二百米,东陆新村五街坊 ,3室1厅,78.24平米,南,6,2003,金桥,586,74
张江东+自己住精装修+中间位置+地铁2号线+国际社区,保利金爵公寓 ,2室2厅,88.48平米,南,14,2009,唐镇,580,65
商品大两房，位置安静，看房随时，诚意卖,金杨路750弄 ,2室1厅,83.5平米,南,6,1996,金杨,500,59
全人车分流，品质小区。毛坯没增值税，电梯高区 .,新城西岸公园 ,2室2厅,89.92平米,南,18,2020,周浦,685,76
满五年免个税，有钥匙，价位可谈，有车库。,印象春城 ,2室1厅,89.08平米,南 北,16,2011,周浦,578,64
张江南 三轨交汇 高层景观房 满五年 精装修 无遮挡,印象春城 ,2室2厅,88.89平米,南 北,18,2011,周浦,575,64
此房南北直通 采光好 视野好 中间楼层 安家之选,光明·唐镇壹号 ,2室1厅,89.19平米,南,16,2015,唐镇,508,56
三房诚意售业主置换户型方正空间大小区前排居住舒适,锦绣小区 ,3室1厅,81.87平米,南,6,1996,联洋,720,87
阁楼两房，附属空间，视野宽阔、采光充足、,玉兰香苑二期B块 ,2室2厅,74.71平米,南,6,2009,张江,580,77
满五年税费少 小区中间位置 两南一北全明户型,罗山七村 ,3室1厅,80.24平米,南,6,1996,金杨,570,71
业主诚意出售，50万精致装修，24平车库，带小院子,益丰新村 ,2室2厅,73.81平米,南,6,1995,张江,500,67
双澧溪，带花园，飞机户型，满五年,果园二村 ,2室2厅,88.79平米,南 北,4,2002,周浦,530,59
双地铁+中间楼层+停车方便+满五年,锦绣华都 ,2室2厅,87.59平米,南,18,2010,御桥,610,69
花园位置 满五税费少 看房方便 性价高,光辉小区 ,2室1厅,72.72平米,南 北,6,1992,梅园,768,105
可接受周期 价格可以沟通 中楼层 视野好 安静 精装,吉云公寓 ,2室1厅,77.62平米,南,6,1995,联洋,698,89
09年社区电梯一房次新社区前滩旁业主诚意出售,吉利名苑 ,1室2厅,72.06平米,南,8,2009,杨思前滩,680,94
一梯两户，全明精装大三房，花园位置，看房随时,罗山四村 ,3室1厅,85.71平米,南,6,1991,金杨,560,65
一口价！仅售链家客户主推聚焦，买进500万满五V-,金地未未来 ,3室1厅,88.14平米,南,15,2009,高行,798,90
满五WEI 税费少，精装自住采光好，价格可谈,印象春城 ,2室2厅,87.85平米,东南,18,2009,周浦,530,60
金禾新苑 2室2厅 南,金禾新苑 ,2室2厅,72平米,南,11,2006,三林,560,77
我司优选区域主推好房，低总价免个税精装保养好,金地未未来 ,3室1厅,86.91平米,南,15,2009,高行,768,88
业主急售＋在建嘉里6/12双轨巨峰路,伟业金锦苑二村 ,2室1厅,77.07平米,南,6,2003,金桥,540,70
纯商品房社区 6号线地铁 文峰广场 停车方便 低区,中大丽都 ,3室2厅,87.52平米,南,6,2003,金桥,700,79
高区电梯两房，诚意出售看房方便,东方悦居 ,2室1厅,72.92平米,南,18,2008,杨思前滩,590,80
好位置不靠路前后花园高买进带车位诚意出售,中骏柏景湾 ,3室2厅,89.69平米,南,16,2017,康桥,670,74
这套房子有一个特特大的阁楼，其他房子没有的。,金和佳园 ,2室2厅,87.54平米,南,6,2003,金桥,530,60
三林板块+中高楼层+视野开阔 看房方便,绿地香颂(浦东)(公寓) ,3室2厅,87.84平米,南,18,2011,三林,558,63
房子满五税少，全明户型中间楼层， 双朝南户型,正旺苑 ,2室1厅,79.68平米,南,6,2004,金桥,518,65
全屋精装修+大金中 央空调+近7/18号线+满五年唯 一,芳华路253弄 ,3室1厅,86.26平米,南,6,1995,北蔡,535,62
三林热门小区+电梯板式2房2厅+配套齐全+精装可拎包,永泰花苑 ,2室2厅,84.9平米,南,18,2005,三林,599,70
杨思地铁口，双南户型天花板，空间大，采光充足！,长清路595弄 ,2室1厅,78.02平米,南,7,1999,杨思前滩,520,66
小区C位 楼层好 户型好  房龄新,双桥小区 ,2室1厅,76.93平米,南,6,2006,金桥,545,70
小区东门口+出行方便+户型正气+近地铁+业主诚意,绿地康桥新苑 ,2室2厅,81.48平米,南,6,2004,康桥,510,62
2号线+唐镇国际社区+近地铁+刚需盘+全明户型+诚意售,保利御樽苑二期 ,1室2厅,74.53平米,南,8,2012,唐镇,550,73
该房采光充足，视野开阔，户型方正,瑞达苑 ,2室2厅,83.74平米,南,6,1995,花木,638,76
：房子满五年一套，近9号线地铁顾唐路站，边套光线足,河滨城市花园 ,3室1厅,88.98平米,南 北,6,2006,曹路,500,56
周浦万达旁，地铁口房子，小区品质好，满五年没有个税,菱翔苑 ,2室2厅,89.59平米,南,6,2003,周浦,510,56
楼间距大，花园位置，得房率85%，婚房装修，双轨交汇,伟业金锦苑二村 ,2室2厅,78.99平米,南 北,6,2003,金桥,540,68
全新精装修 +拎包入住 +业主置换+看房随时,鑫唐佳苑 ,2室2厅,89.8平米,南 北,6,2004,唐镇,512,57
近地铁 格局舒适 采光视野好 税少 带30平大露台,古桐公寓 ,2室1厅,75.52平米,南,6,1994,张江,520,68
龙阳路CBD，精装修拎包入住，近18号线地铁！,培花七村 ,2室1厅,81.39平米,南,6,1994,北蔡,530,65
好房推荐，南北直通，中间楼层，装修点赞，出行方便,证大家园(一期) ,2室2厅,87.73平米,南,6,2002,金桥,710,80
金桥酒店公寓 1室1厅 南,金桥酒店公寓 ,1室1厅,75.22平米,南,19,2003,碧云,550,73
三开间朝南品质好房那个，精装修拎包入住！,明天华城 ,2室2厅,89.71平米,南,18,2017,周浦,600,66
双轨交汇，闹中取静，户型方正无浪费，用心装修刚五年,金桥新城 ,2室2厅,88.4平米,南 北,6,2005,金桥,680,76
人车分流社区 电梯中区不靠路 可看泳池视野采光棒！,中骏柏景湾 ,3室2厅,89.69平米,南,16,2017,康桥,700,78
近前滩+精装随时拎包入住+户型方正+业主诚意,上南山水苑 ,2室2厅,86.88平米,南,6,2001,杨思前滩,735,84
户型正气 采光视野无遮挡  中间位置 近地铁 配套齐全,金桥花苑 ,3室1厅,77.91平米,南,6,1998,金桥,528,67
急售！09年小区带地下车库+小三房得房率高+看房随时,齐锦苑 ,3室1厅,84.23平米,南,6,2009,世博,520,61
06年品质小区+顶楼复式+户型好+位置佳,樱花路89弄 ,2室1厅,78.65平米,南 北,6,2006,花木,730,92
满五唯，一中高楼层，通风好，采光佳，交通方便贴内环,锦绣河山 ,2室1厅,76.95平米,南,25,1996,金杨,545,70
地铁口的2房，中间楼层，前滩边上，自住效果佳,绿茵苑(浦东) ,2室1厅,89.02平米,南 北,6,1998,杨思前滩,540,60
太古高区双南2房，建平简装，2站陆家嘴，地铁口,环球广场 ,2室1厅,85.25平米,南,33,1996,梅园,660,77
只要天上有太阳，房子里就一定有阳光！,明珠苑(浦东) ,2室1厅,72.79平米,南,6,1997,洋泾,620,85
张江东+商品房+中间位置+好楼层+ 有钥匙,保利金爵公寓 ,2室2厅,87.42平米,南,7,2009,唐镇,585,66
前面是别墅，无遮挡，房子满五税费少，南北户型,中海御景熙岸(公寓) ,2室2厅,82.3平米,南 北,18,2011,三林,570,69
大三房 全明户型 看房有钥匙 业主诚售,陈家门小区 ,3室1厅,77.14平米,南 北,6,1988,梅园,720,93
無税好房，中间三楼，花园位置，模范可用，6/9双地铁,金桥新村四街坊 ,3室1厅,84.99平米,南 北,6,1997,金桥,630,74
18号线康桥 人车分流 泳池健身房 高区两房 采光棒,中邦大都会 ,2室2厅,88.99平米,南,24,2016,康桥,650,73
凤凰楼层+北观三件套南看别墅+双轨交汇+精装修南北通,金禾新苑 ,2室2厅,77.46平米,南 北,11,2006,三林,636,82
全明户型，楼层好，小区中间位置，诚意出售,金桂小区 ,3室2厅,88.32平米,南,6,1996,花木,728,82
三林明星商品房+近地铁+电梯+精装+不靠路,万科金色雅筑 ,3室1厅,89.29平米,南,10,2008,三林,788,88
良丰大厦 2室1厅 北,良丰大厦 ,2室1厅,87.35平米,北,35,未知,梅园,790,90
满五年名下一套，精装修业主急售，用品质征服你,伟业金锦苑三村 ,2室1厅,78.49平米,南,6,2003,金桥,518,65
税少+精装修+西边套+99年房龄，新风系统中yang空调,香山新村西南街坊 ,2室1厅,80.25平米,南,6,1999,金杨,545,67
次顶楼 房子满五年业主名下一套 买进229万 税费少,印象春城 ,2室2厅,87.85平米,南,18,2009,周浦,500,56
总价低+精装修+地铁口+人车分流+大区主推好房,大华锦绣华城(十五街区) ,2室1厅,72.57平米,南,18,2013,北蔡,750,103
新杨思，三房，中间楼层，飞机户型，明珠在旁,新里城和合苑 ,3室1厅,83.19平米,南,6,1999,杨思前滩,760,91
⭐此房动迁⭐税费少⭐户型方正⭐小区新环境好⭐,聚龙家园 ,2室1厅,73.82平米,南,6,2002,北蔡,520,70
世纪大道地铁，双南电梯两房一厅，凤凰楼层，诚意出售,竹园高层 ,2室1厅,72.54平米,南,22,1989,源深,720,99
采光充足，配套齐全，交通便利地铁200米，户型方正,新世纪花苑(一期)(浦东) ,2室2厅,77.17平米,南,7,1996,世博,620,80
客户鉴定都说好双南户型+世纪公园地铁口+有钥匙随时看,建华公寓 ,2室1厅,79.79平米,南 北,6,1996,花木,635,79
捡皮夹子自住精装带地暖位置安静楼层好采光棒南北通,日月光水岸花园(一期) ,2室2厅,88.92平米,南,13,2010,张江,760,85
前滩南，黄浦江边，小南京西路步行街,凌兆新村(凌兆路530弄) ,2室2厅,86.13平米,南,6,1994,三林,534,62
满五税少位置安静配套齐全+一梯三户,大华锦绣华城(九街区) ,2室2厅,84.17平米,南,6,2006,北蔡,708,84
三房户型，得房率高，采光充足，近地铁,翠竹苑 ,3室1厅,77.73平米,南,6,1997,三林,518,66
中间楼层采光佳，满五年税费少，户型正气视野开阔,玉兰香苑二期A块 ,2室2厅,89.79平米,南,6,2006,张江,540,60
近地铁+电梯房+世博轴心位置+配套齐全,上南九村 ,3室2厅,89.86平米,南,24,1996,世博,710,79
精装修拎包入住、景观位置看河、,绿地崴廉公寓 ,2室1厅,89.61平米,南 北,16,2008,高行,626,69
中间楼层+小区中间位置+满五位一少税+精装修+急售,金浜小区 ,2室1厅,71.02平米,南,6,1994,金杨,530,74
前滩南   电梯边套户型   地铁3轨交   采光好,依水园二期 ,3室1厅,84.95平米,南 北,30,未知,三林,530,62
云台路地铁站口，一梯4户，南北通透电梯2房，视野好,上南五村 ,2室2厅,86.69平米,北 南,12,1988,世博,618,71
近地铁近商场一站到前滩万科三房有露台,万科金色雅筑 ,3室1厅,70.32平米,南,5,2008,三林,740,105
电梯房，动迁，税费少，地铁双轨，金色中环内。,莲康苑 ,2室1厅,79.61平米,南,17,2014,北蔡,580,72
精装一年多，动迁税少，小区花园位置，诚意出售,源城锦翠苑 ,2室1厅,73.14平米,南,6,2005,杨思前滩,628,85
9号线/12号线双轨交 09年电梯房 中间楼层 业主诚售,阳光城市家园 ,2室2厅,81.89平米,南,17,2009,金桥,539,65
安静位置，采光好带阁楼，业主诚意出售，配套成熟,御桥花园 ,3室1厅,85.86平米,南,6,1996,御桥,583,67
满五、双南户型电梯房，采光通风好,海运新村 ,2室1厅,77.69平米,南,18,1990,塘桥,550,70
2011年商品房+电梯高区+视野采光不错+陪读优选,逸翠公馆 ,2室2厅,86.46平米,南,24,2011,世博,680,78
商品房小区+近地铁+中间楼层+全明户型+南北两房,华佳花园 ,2室1厅,85.55平米,东南,7,1999,北蔡,605,70
09年电梯商品房，满五带产权车位，采光好，税费低,和憬家园 ,2室2厅,89.77平米,南,14,2009,川沙,523,58
此房是小区的大面积户型，中间位置，三间朝南，精装修,香山新村西北街坊 ,3室1厅,81.8平米,南,6,1996,金杨,570,69
户型方正、配套设施齐全、交通便利、满五年、楼层..,今达花园 ,2室2厅,82.34平米,南,11,2001,金桥,568,68
A1户型 不靠路 南北通tou 满五年wei 一 不是顶层,印象春城 ,2室2厅,88.97平米,南,18,2011,周浦,575,64
南北通大两房  采光好 位置好  税费低,玉兰香苑(四期) ,2室2厅,82.64平米,南,6,2008,唐镇,520,62
南北大两房，全明户型，看房随时有钥匙,建华公寓 ,2室1厅,88.87平米,南,6,1995,花木,698,78
电梯高层诚意出售看房固定周六价格可谈,日月光水岸花园(一期) ,2室2厅,87.93平米,南,13,2010,张江,770,87
公园旁的商品房，中楼层，采光好视野佳，且税费低,铂庭俱进家园 ,2室2厅,87.68平米,南,20,2010,高行,535,61
全明小三房，南北通，满五，适宜一家人居住,临沂七村 ,3室1厅,78.11平米,南,6,1990,南码头,515,65
房子满五W1税费少，房型方正，东边套全明户型,牡丹路399弄 ,2室2厅,73.38平米,南,6,1996,花木,640,87
金色中环，科创园区，一手动迁，免增值税，,颐盛云锦苑 ,2室1厅,73.82平米,南,17,未知,御桥,585,79
张江南，户型好，南北通、税费少有车位,印象春城 ,2室2厅,89.23平米,南 北,18,2009,周浦,560,62
⭐准电梯房已签合同⭐ 30万精装 附阁楼 花园位置 满五,金泽苑 ,2室1厅,78.86平米,南,6,1999,金桥,550,69
前滩张江御桥 精装修 近地铁 无个税 精装修 看房方便,绿地御桥苑 ,3室1厅,87.28平米,南,6,2003,御桥,730,83
中环内靠前滩，1房2卫户型方正，生活配套齐全，宜居。,翰城国际 ,1室1厅,72.32平米,南,17,2005,杨思前滩,620,85
40万新装修+中空地暖+高区+附12平+前排别墅+花园位置,绿地香颂(浦东)(公寓) ,3室2厅,87.85平米,南 北,18,2011,三林,625,71
南北格局好，楼层好，视野宽阔采光好配套齐全,高行家园 ,2室2厅,78.62平米,南 北,6,2005,高行,515,65
两年前婚房装修拎包入住，全明户型，楼层好，近地铁,齐二小区 ,2室1厅,76.37平米,南,24,1996,世博,570,74
此房满五年小区位于张江的中芯地段张江镇上,建中路126弄 ,2室1厅,75.52平米,南,6,1993,张江,525,69
6/11双轨+满五唯 一+配套成熟+前滩辐射区。,金橘新苑（南区） ,2室2厅,82.29平米,南,11,2006,三林,658,79
店长推荐 一梯两户 视野开阔 保养得当,新世纪花苑(二期)(浦东) ,2室2厅,84.07平米,南 北,7,1996,世博,630,74
2015年次新小区，中环内近13号线，一手清水毛坯房,德锦苑 ,2室2厅,86.27平米,南,17,2015,北蔡,588,68
店长首推！惊爆价！全明南北通三房，动迁税低随时看房,东陆新村五街坊 ,3室1厅,77.85平米,南,6,2003,金桥,520,66
上南花苑一期 2室1厅 南 北,上南花苑一期 ,2室1厅,77.29平米,南 北,7,1996,世博,530,68
中间楼层+交通便利+配套设施齐全,临沂七村 ,3室1厅,78.58平米,南,6,1990,南码头,538,68
毕加索二期，次顶楼凤凰楼层，满五年税费少,毕加索小镇(二期)(公寓) ,2室2厅,89.43平米,南 北,13,2011,唐镇,700,78
边套，采光视野好，全明户型三开间，小区中间位置,崮山小区二街坊 ,3室1厅,84.49平米,南,6,1999,洋泾,698,82
近地铁6/9号线，清水苑三期有模范，楼层好，户型方正,金桥湾清水苑 ,3室1厅,86.26平米,南 北,6,1998,金桥,658,76
杨思前滩+太古里旁+13年小区+停车方便,三杨新村一街坊 ,2室1厅,75.6平米,南 北,17,2013,杨思前滩,650,85
内环内 地铁口 双南 采光好，业主诚意出售，看房方便,陆家嘴滨江公馆 ,2室2厅,72.47平米,南,29,1994,洋泾,630,86
6/7/13三条地铁，精装修两房，售后公房税少，诚意卖,齐七小区 ,3室1厅,71.25平米,南,6,1997,世博,508,71
金杨商品房带双天井，无增值税个税一个点，采光无遮挡,金杨路750弄 ,2室2厅,84.53平米,南,6,1996,金杨,542,64
电梯一楼，中间套。诚意出售，随时看房,川杨新苑(四期) ,2室1厅,86.84平米,南,14,2010,张江,510,58
房东诚意出售，降价50万诚意出售，价格看付款还能谈,明珠苑(浦东) ,2室1厅,73.51平米,南,6,1998,洋泾,690,93
地铁7号线云台路站，双南电梯2房，看小区花园,雪野二村 ,2室1厅,74.75平米,南,16,1993,世博,528,70
此房小区中间位置 采光好且安静 户型方正 全明,兰花小区 ,2室1厅,73.25平米,南,6,1994,花木,560,76
前滩旁+纯商品房+地铁200米+南北通+中间楼层+满五急售,凌兆佳苑 ,2室2厅,76.39平米,南 北,6,2001,三林,568,74
楼层好商品房+空调+地暖+南北通+全明+随时看房,蝶恋园 ,2室2厅,85.85平米,南,6,2001,金杨,729,84
只售链家客户，十万火急，景观楼层，自住精装税低！,高海家苑 ,2室2厅,89.01平米,南,14,2011,高行,738,82
近地铁两房，总价低，税费少，户型好,和合新村 ,2室1厅,72.76平米,南,6,2007,御桥,510,70
翔川家园，地理位置优越，生活方便，出行便利,翔川家园 ,2室2厅,85.45平米,南 北,6,2008,川沙,530,62
双南户型，位置佳，03年房子，精装自住，,双桥小区 ,2室1厅,78.56平米,南,6,2003,金桥,545,69
急售好房！近前滩+诚意卖+阁楼以做好+金色中环+盒马X,新里城和合苑 ,2室1厅,78.68平米,南 北,6,1999,杨思前滩,640,81
近前滩 11号线三林站 2017年交付 电梯高区 视野开阔,三林新村 ,2室1厅,79.83平米,南,18,2017,三林,510,63
浦城小区 3室1厅 南,浦城小区 ,3室1厅,72.68平米,南,6,1993,陆家嘴,658,90
内环内北滨江地段 满五年税费少 复式户型,洋泾花园城 ,2室1厅,89.5平米,南,6,1996,洋泾,720,80
滨江一线！100米，业主诚意出售！钥匙房随时可看！,微山三村 ,2室2厅,75.9平米,南,6,1995,塘桥,685,90
精装修+中间楼层+中间位置+北门地铁+南门商场,三林安居苑 ,3室2厅,78.22平米,南,5,1998,三林,560,71
内环边上，总价低，采光好，看房方便,星云小区 ,2室1厅,78.88平米,南,6,1995,碧云,630,79
陆家嘴全明两房带厅，电梯中区，急售，看房预约,陈家宅小区(潍坊西路) ,2室1厅,73.42平米,南,18,1996,陆家嘴,530,72
内环内＋电梯大两房+近6/14号线+近旭辉广场,博山小区 ,2室1厅,85.24平米,南,25,1990,洋泾,530,62
满五年名下仅有一套  位置好 税费少 配套齐全交通便利,竹园高层 ,2室1厅,72.08平米,南,22,1993,源深,680,94
新南北通满五年价格实惠业主诚意售,中海御景熙岸(公寓) ,3室2厅,88.42平米,南 北,18,2011,三林,609,68
13号线400米，一手动迁，纯毛坯，位置好，税费少。,鹏宏苑 ,2室2厅,89.33平米,南 北,6,2009,北蔡,620,69
2017年次新房，今年正好满五年，税费少，精装修有车位,绿洲康城亲水湾(中央区) ,2室2厅,86.77平米,南,18,2017,御桥,599,69
莲康苑南北通户型电梯房低层不靠路地铁13/18号线,莲康苑 ,2室2厅,79.91平米,南,17,2014,北蔡,505,63
好楼层，好位置，好户型，好房子,双桥小区 ,2室1厅,74平米,南,6,1997,金桥,535,72
40万婚装才用1年，前排无遮挡视野好，未来楼下就地铁,三林世博家园(新浦路199弄) ,2室1厅,74.43平米,南,17,2006,杨思前滩,510,68
此房一手动迁 刚 需户 型 中 间楼层 业主诚意,东城新村 ,3室1厅,80.52平米,南,6,1999,杨东,600,74
售后公房税费少，原始三房，高层采光好，非顶楼，诚售,巨东小区 ,3室2厅,77.72平米,南 北,6,1994,洋泾,629,80
金色中环，2017年次新小区，陆家嘴科创园旁，一手动迁,颐盛云锦苑 ,2室1厅,74.07平米,南,17,未知,御桥,500,67
⭐⭐⭐⭐⭐宰相层，精装修30万，2房2厅格局，户型正气,双桥小区 ,2室2厅,78.14平米,南,6,2003,金桥,550,70
地铁口三房改两房 客厅主卧朝南，次卧卫生间厨房朝北,金桂小区 ,3室2厅,88.44平米,南 北,6,1993,花木,725,81
一手动迁，税费少，中间楼层，中间位置，业主诚心出售,同康苑 ,3室1厅,86.47平米,南,32,2014,三林,512,59
满五仅一套 通风好 采光好精装业主诚意出售高楼层,爱法新城 ,2室1厅,85.97平米,南,6,2006,金桥,680,79
楼层好 位置佳 两南一北 诚意出售,香楠小区 ,3室1厅,80.34平米,南,6,1995,张江,510,63
2001年，售后公房，满五年，近9号线地铁，安静位置,崮山小区一街坊 ,3室2厅,86.38平米,南 北,6,2001,洋泾,780,90
此房满五年，南北通户型，装修采光楼层好,东方城市绿洲 ,2室2厅,89.46平米,南,11,2010,川沙,550,61
！精装修！拎包可住++正对公园无遮挡，售后公房税费少,博山小区 ,2室2厅,87.03平米,南,25,1990,洋泾,549,63
杨思前滩6号线地铁200米+一手动迁免增值税+看房方便,博学家园 ,2室1厅,82.19平米,南 北,11,2010,杨思前滩,510,62
2010年的电梯商品房，业主诚心出售，有钥匙 随时看,曹路家苑 ,2室2厅,89.42平米,南,9,2010,曹路,590,65
绿洲康城亲水湾(中央区) 2室1厅 南 北,绿洲康城亲水湾(中央区) ,2室1厅,75.15平米,南 北,22,2017,御桥,525,69
加装电梯已公示，三房朝南，业主诚意价可谈，中间位置,锦绣小区 ,3室2厅,82.24平米,南 北,6,1996,联洋,770,93
东方悦居 2室1厅 南,东方悦居 ,2室1厅,72.92平米,南,18,2008,杨思前滩,533,73
张江双子塔旁 一手动迁 南北通透 户型方正 诚意出售,川杨新苑(三期) ,2室2厅,87.37平米,南 北,6,2010,张江,550,62
一梯两户小区中间位置，满五年带花园,恒大华城上河苑 ,2室1厅,88.09平米,南,6,2001,杨思前滩,720,81
